TfName,GeneName,Family,UniProt,Source,TaxGroup,Species
AHR_HUMAN.H11MO.0.B,AHR,PAS domain factors,P35869,Integrative,vertebrates,Homo sapiens
AIRE_HUMAN.H11MO.0.C,AIRE,AIRE,O43918,Integrative,vertebrates,Homo sapiens
ALX1_HUMAN.H11MO.0.B,ALX1,Paired-related HD factors,Q15699,Integrative,vertebrates,Homo sapiens
ALX3_HUMAN.H11MO.0.D,ALX3,Paired-related HD factors,O95076,HT-SELEX,vertebrates,Homo sapiens
ALX4_HUMAN.H11MO.0.D,ALX4,Paired-related HD factors,Q9H161,HT-SELEX,vertebrates,Homo sapiens
ANDR_HUMAN.H11MO.0.A,AR,Steroid hormone receptors (NR3),P10275,ChIP-Seq,vertebrates,Homo sapiens
ANDR_HUMAN.H11MO.1.A,AR,Steroid hormone receptors (NR3),P10275,ChIP-Seq,vertebrates,Homo sapiens
ANDR_HUMAN.H11MO.2.A,AR,Steroid hormone receptors (NR3),P10275,ChIP-Seq,vertebrates,Homo sapiens
AP2A_HUMAN.H11MO.0.A,TFAP2A,AP-2,P05549,ChIP-Seq,vertebrates,Homo sapiens
AP2B_HUMAN.H11MO.0.B,TFAP2B,AP-2,Q92481,Integrative,vertebrates,Homo sapiens
AP2C_HUMAN.H11MO.0.A,TFAP2C,AP-2,Q92754,ChIP-Seq,vertebrates,Homo sapiens
AP2D_HUMAN.H11MO.0.D,TFAP2D,AP-2,Q7Z6R9,Integrative,vertebrates,Homo sapiens
ARI3A_HUMAN.H11MO.0.D,ARID3A,ARID-related factors,Q99856,Integrative,vertebrates,Homo sapiens
ARI5B_HUMAN.H11MO.0.C,ARID5B,ARID-related factors,Q14865,Integrative,vertebrates,Homo sapiens
ARNT2_HUMAN.H11MO.0.D,ARNT2,PAS domain factors,Q9HBZ2,Integrative,vertebrates,Homo sapiens
ARNT_HUMAN.H11MO.0.B,ARNT,PAS domain factors,P27540,ChIP-Seq,vertebrates,Homo sapiens
ARX_HUMAN.H11MO.0.D,ARX,Paired-related HD factors,Q96QS3,HT-SELEX,vertebrates,Homo sapiens
ASCL1_HUMAN.H11MO.0.A,ASCL1,MyoD / ASC-related factors,P50553,ChIP-Seq,vertebrates,Homo sapiens
ASCL2_HUMAN.H11MO.0.D,ASCL2,MyoD / ASC-related factors,Q99929,ChIP-Seq,vertebrates,Homo sapiens
ATF1_HUMAN.H11MO.0.B,ATF1,CREB-related factors,P18846,ChIP-Seq,vertebrates,Homo sapiens
ATF2_HUMAN.H11MO.0.B,ATF2,Jun-related factors,P15336,ChIP-Seq,vertebrates,Homo sapiens
ATF2_HUMAN.H11MO.1.B,ATF2,Jun-related factors,P15336,ChIP-Seq,vertebrates,Homo sapiens
ATF2_HUMAN.H11MO.2.C,ATF2,Jun-related factors,P15336,ChIP-Seq,vertebrates,Homo sapiens
ATF3_HUMAN.H11MO.0.A,ATF3,Fos-related factors,P18847,ChIP-Seq,vertebrates,Homo sapiens
ATF4_HUMAN.H11MO.0.A,ATF4,ATF-4-related factors,P18848,ChIP-Seq,vertebrates,Homo sapiens
ATF6A_HUMAN.H11MO.0.B,ATF6,CREB-related factors,P18850,Integrative,vertebrates,Homo sapiens
ATF7_HUMAN.H11MO.0.D,ATF7,Jun-related factors,P17544,HT-SELEX,vertebrates,Homo sapiens
