TfName,GeneName,Family,UniProt,Source,TaxGroup,Species
MA0001.1.AGL3,AGL3,MADS,P29383,SELEX,plants,Arabidopsis thaliana
MA0002.1.RUNX1,RUNX1,Runt-related factors,Q01196,SELEX,vertebrates,Homo sapiens
MA0003.1.TFAP2A,TFAP2A,AP-2,P05549,SELEX,vertebrates,Homo sapiens
MA0004.1.Arnt,Arnt,PAS domain factors,P53762,SELEX,vertebrates,Mus musculus
MA0005.1.AG,AG,MADS,P17839,SELEX,plants,Arabidopsis thaliana
MA0006.1.Ahr::Arnt,Ahr+Arnt,PAS domain factors,P30561;P53762,SELEX,vertebrates,Mus musculus
MA0007.1.Ar,Ar,Steroid hormone receptors (NR3),P15207,SELEX,vertebrates,Rattus rattus
MA0008.1.HAT5,HAT5,Homeo,Q02283,SELEX,plants,Arabidopsis thaliana
MA0009.1.Tbxt,Tbxt,Brachyury-related factors,P20293,SELEX,vertebrates,Mus musculus
MA0010.1.br,br,Other factors with up to three adjacent zinc fingers,Q01295,COMPILED,insects,Drosophila melanogaster
MA0011.1.br(var.2),br(var.2),Other factors with up to three adjacent zinc fingers,Q01295,COMPILED,insects,Drosophila melanogaster
MA0012.1.br(var.3),br(var.3),Other factors with up to three adjacent zinc fingers,Q01295,COMPILED,insects,Drosophila melanogaster
MA0013.1.br(var.4),br(var.4),Other factors with up to three adjacent zinc fingers,Q24206,COMPILED,insects,Drosophila melanogaster
MA0014.1.Pax5,Pax5,Paired domain only,Q02650,COMPILED,vertebrates,Mus musculus
MA0015.1.Cf2,Cf2,Factors with multiple dispersed zinc fingers,P20385,SELEX,insects,Drosophila melanogaster
MA0016.1.usp,usp,,P20153,SELEX,insects,Drosophila melanogaster
MA0017.1.NR2F1,NR2F1,RXR-related receptors (NR2),P10589,COMPILED,vertebrates,Homo sapiens
MA0018.1.CREB1,CREB1,CREB-related factors,P16220,SELEX,vertebrates,Homo sapiens
MA0019.1.Ddit3::Cebpa,Ddit3+Cebpa,C/EBP-related factors,Q62857;P05554,SELEX,vertebrates,Rattus norvegicus
MA0020.1.Dof2,Dof2,Dof-type,Q41800,SELEX,plants,Zea mays
MA0021.1.Dof3,Dof3,Dof-type,Q41801,SELEX,plants,Zea mays
MA0022.1.dl,dl,,P15330,SELEX,insects,Drosophila melanogaster
MA0023.1.dl(var.2),dl(var.2),,P15330,SELEX,insects,Drosophila melanogaster
MA0024.1.E2F1,E2F1,E2F-related factors,Q01094,COMPILED,vertebrates,Homo sapiens
MA0025.1.NFIL3,NFIL3,C/EBP-related factors,Q16649,SELEX,vertebrates,Homo sapiens
MA0026.1.Eip74EF,Eip74EF,Ets-related factors,P20105,SELEX,insects,Drosophila melanogaster
MA0027.1.En1,En1,NK-related factors,P09065,SELEX,vertebrates,Mus musculus
MA0028.1.ELK1,ELK1,Ets-related factors,P19419,SELEX,vertebrates,Homo sapiens
MA0029.1.Mecom,Mecom,Factors with multiple dispersed zinc fingers,A4QPC8,SELEX,vertebrates,Mus musculus
MA0030.1.FOXF2,FOXF2,Forkhead box (FOX) factors,Q12947,SELEX,vertebrates,Homo sapiens
MA0031.1.FOXD1,FOXD1,Forkhead box (FOX) factors,Q16676,SELEX,vertebrates,Homo sapiens
MA0032.1.FOXC1,FOXC1,Forkhead box (FOX) factors,Q12948,SELEX,vertebrates,Homo sapiens
