# sequenceName	alias names
chr1	AC_000158.1
chr10	AC_000167.1
chr11	AC_000168.1
chr12	AC_000169.1
chr13	AC_000170.1
chr14	AC_000171.1
chr15	AC_000172.1
chr16	AC_000173.1
chr17	AC_000174.1
chr18	AC_000175.1
chr19	AC_000176.1
chr2	AC_000159.1
chr20	AC_000177.1
chr21	AC_000178.1
chr22	AC_000179.1
chr23	AC_000180.1
chr24	AC_000181.1
chr25	AC_000182.1
chr26	AC_000183.1
chr27	AC_000184.1
chr28	AC_000185.1
chr29	AC_000186.1
chr3	AC_000160.1
chr4	AC_000161.1
chr5	AC_000162.1
chr6	AC_000163.1
chr7	AC_000164.1
chr8	AC_000165.1
chr9	AC_000166.1
chrM	NC_006853.1
chrUn_GJ057137v1	NW_003097882.1
chrUn_GJ057138v1	NW_003097883.1
chrUn_GJ057139v1	NW_003097884.1
chrUn_GJ057140v1	NW_003097885.1
chrUn_GJ057141v1	NW_003097886.1
chrUn_GJ057142v1	NW_003097887.1
chrUn_GJ057143v1	NW_003097888.1
chrUn_GJ057144v1	NW_003097889.1
chrUn_GJ057145v1	NW_003097890.1
chrUn_GJ057146v1	NW_003097891.1
chrUn_GJ057147v1	NW_003097892.1
chrUn_GJ057148v1	NW_003097893.1
chrUn_GJ057149v1	NW_003097894.1
chrUn_GJ057150v1	NW_003097895.1
chrUn_GJ057151v1	NW_003097896.1
chrUn_GJ057152v1	NW_003097897.1
chrUn_GJ057153v1	NW_003097898.1
chrUn_GJ057154v1	NW_003097899.1
chrUn_GJ057155v1	NW_003097900.1
chrUn_GJ057156v1	NW_003097901.1
chrUn_GJ057157v1	NW_003097902.1
chrUn_GJ057158v1	NW_003097903.1
chrUn_GJ057159v1	NW_003097904.1
chrUn_GJ057160v1	NW_003097905.1
chrUn_GJ057161v1	NW_003097906.1
chrUn_GJ057162v1	NW_003097907.1
chrUn_GJ057163v1	NW_003097908.1
chrUn_GJ057164v1	NW_003097909.1
chrUn_GJ057165v1	NW_003097910.1
chrUn_GJ057166v1	NW_003097911.1
chrUn_GJ057167v1	NW_003097912.1
chrUn_GJ057168v1	NW_003097913.1
chrUn_GJ057169v1	NW_003097914.1
chrUn_GJ057170v1	NW_003097915.1
chrUn_GJ057171v1	NW_003097916.1
chrUn_GJ057172v1	NW_003097917.1
chrUn_GJ057173v1	NW_003097918.1
chrUn_GJ057174v1	NW_003097919.1
chrUn_GJ057175v1	NW_003097920.1
chrUn_GJ057176v1	NW_003097921.1
chrUn_GJ057181v1	NW_003097926.1
chrUn_GJ057186v1	NW_003097931.1
chrUn_GJ057191v1	NW_003097936.1
chrUn_GJ057192v1	NW_003097937.1
chrUn_GJ057193v1	NW_003097938.1
chrUn_GJ057194v1	NW_003097939.1
chrUn_GJ057195v1	NW_003097940.1
chrUn_GJ057196v1	NW_003097941.1
chrUn_GJ057202v1	NW_003097947.1
chrUn_GJ057203v1	NW_003097948.1
chrUn_GJ057204v1	NW_003097949.1
chrUn_GJ057205v1	NW_003097950.1
chrUn_GJ057206v1	NW_003097951.1
chrUn_GJ057207v1	NW_003097952.1
chrUn_GJ057208v1	NW_003097953.1
chrUn_GJ057209v1	NW_003097954.1
chrUn_GJ057210v1	NW_003097955.1
chrUn_GJ057211v1	NW_003097956.1
chrUn_GJ057212v1	NW_003097957.1
chrUn_GJ057214v1	NW_003097959.1
chrUn_GJ057215v1	NW_003097960.1
chrUn_GJ057216v1	NW_003097961.1
chrUn_GJ057217v1	NW_003097962.1
chrUn_GJ057218v1	NW_003097963.1
chrUn_GJ057219v1	NW_003097964.1
chrUn_GJ057220v1	NW_003097965.1
chrUn_GJ057222v1	NW_003097967.1
chrUn_GJ057223v1	NW_003097968.1
chrUn_GJ057224v1	NW_003097969.1
chrUn_GJ057225v1	NW_003097970.1
chrUn_GJ057226v1	NW_003097971.1
chrUn_GJ057227v1	NW_003097972.1
chrUn_GJ057228v1	NW_003097973.1
chrUn_GJ057229v1	NW_003097974.1
chrUn_GJ057230v1	NW_003097975.1
chrUn_GJ057231v1	NW_003097976.1
chrUn_GJ057232v1	NW_003097977.1
chrUn_GJ057233v1	NW_003097978.1
chrUn_GJ057235v1	NW_003097980.1
chrUn_GJ057236v1	NW_003097981.1
chrUn_GJ057237v1	NW_003097982.1
chrUn_GJ057238v1	NW_003097983.1
chrUn_GJ057239v1	NW_003097984.1
chrUn_GJ057240v1	NW_003097985.1
chrUn_GJ057241v1	NW_003097986.1
chrUn_GJ057247v1	NW_003097992.1
chrUn_GJ057248v1	NW_003097993.1
chrUn_GJ057252v1	NW_003097997.1
chrUn_GJ057253v1	NW_003097998.1
chrUn_GJ057255v1	NW_003098000.1
chrUn_GJ057256v1	NW_003098001.1
chrUn_GJ057257v1	NW_003098002.1
chrUn_GJ057258v1	NW_003098003.1
chrUn_GJ057259v1	NW_003098004.1
chrUn_GJ057260v1	NW_003098005.1
chrUn_GJ057261v1	NW_003098006.1
chrUn_GJ057263v1	NW_003098008.1
chrUn_GJ057264v1	NW_003098009.1
chrUn_GJ057265v1	NW_003098010.1
chrUn_GJ057266v1	NW_003098011.1
chrUn_GJ057267v1	NW_003098012.1
chrUn_GJ057268v1	NW_003098013.1
chrUn_GJ057270v1	NW_003098015.1
chrUn_GJ057271v1	NW_003098016.1
chrUn_GJ057272v1	NW_003098017.1
chrUn_GJ057273v1	NW_003098018.1
chrUn_GJ057274v1	NW_003098019.1
chrUn_GJ057275v1	NW_003098020.1
chrUn_GJ057276v1	NW_003098021.1
chrUn_GJ057277v1	NW_003098022.1
chrUn_GJ057278v1	NW_003098023.1
chrUn_GJ057279v1	NW_003098024.1
chrUn_GJ057280v1	NW_003098025.1
chrUn_GJ057281v1	NW_003098026.1
chrUn_GJ057282v1	NW_003098027.1
chrUn_GJ057283v1	NW_003098028.1
chrUn_GJ057284v1	NW_003098029.1
chrUn_GJ057285v1	NW_003098030.1
chrUn_GJ057286v1	NW_003098031.1
chrUn_GJ057287v1	NW_003098032.1
chrUn_GJ057288v1	NW_003098033.1
chrUn_GJ057291v1	NW_003098036.1
chrUn_GJ057292v1	NW_003098037.1
chrUn_GJ057293v1	NW_003098038.1
chrUn_GJ057294v1	NW_003098039.1
chrUn_GJ057295v1	NW_003098040.1
chrUn_GJ057296v1	NW_003098041.1
chrUn_GJ057297v1	NW_003098042.1
chrUn_GJ057298v1	NW_003098043.1
chrUn_GJ057299v1	NW_003098044.1
chrUn_GJ057300v1	NW_003098045.1
chrUn_GJ057301v1	NW_003098046.1
chrUn_GJ057302v1	NW_003098047.1
chrUn_GJ057303v1	NW_003098048.1
chrUn_GJ057304v1	NW_003098049.1
chrUn_GJ057305v1	NW_003098050.1
chrUn_GJ057309v1	NW_003098054.1
chrUn_GJ057311v1	NW_003098056.1
chrUn_GJ057312v1	NW_003098057.1
chrUn_GJ057314v1	NW_003098059.1
chrUn_GJ057315v1	NW_003098060.1
chrUn_GJ057316v1	NW_003098061.1
chrUn_GJ057317v1	NW_003098062.1
chrUn_GJ057318v1	NW_003098063.1
